1,0.479,13,27.2,0.201,0.508,13,75.8,0.199,0.505,13.7,20.2,0.199,0.513,12.4,71,0.192
0,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199
0,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227
1,0.497,14,27.5,0.222,0.5,12.8,74.5,0.233,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224
0,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222
1,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225
1,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177
1,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249
1,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189,0.487,13.9,22.4,0.193,0.504,13,75.5,0.211
0,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244
0,0.505,13.7,20.2,0.199,0.513,12.4,71,0.192,0.519,14,26.4,0.222,0.496,13.9,73.7,0.237
0,0.479,13,27.2,0.201,0.508,13,75.8,0.199,0.504,12.4,28,0.22,0.488,11,74.7,0.194
0,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184
0,0.554,14.6,20.6,0.228,0.511,15.8,73,0.212,0.506,13.6,25.2,0.181,0.504,15,75.7,0.22
1,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236,0.515,14.3,21,0.208,0.51,14,74.4,0.196
1,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193
0,0.505,12.5,25.1,0.189,0.514,14,74.3,0.245,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197
1,0.505,13.7,20.2,0.199,0.513,12.4,71,0.192,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227
1,0.479,13,27.2,0.201,0.508,13,75.8,0.199,0.497,14,27.5,0.222,0.5,12.8,74.5,0.233
1,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218
0,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199
1,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222,0.505,12.5,25.1,0.189,0.514,14,74.3,0.245
0,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221
1,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183,0.487,13.9,22.4,0.193,0.504,13,75.5,0.211
1,0.554,14.6,20.6,0.228,0.511,15.8,73,0.212,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244
1,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,0.519,14,26.4,0.222,0.496,13.9,73.7,0.237
1,0.504,12.4,28,0.22,0.488,11,74.7,0.194,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184
0,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237
0,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189,0.506,13.6,25.2,0.181,0.504,15,75.7,0.22
1,0.554,14.6,20.6,0.228,0.511,15.8,73,0.212,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183
0,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189
1,0.504,12.4,28,0.22,0.488,11,74.7,0.194,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229
0,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193
0,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197
0,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177
1,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249
1,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218,0.506,13.6,25.2,0.181,0.504,15,75.7,0.22
0,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221
0,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227,0.487,13.9,22.4,0.193,0.504,13,75.5,0.211
0,0.497,14,27.5,0.222,0.5,12.8,74.5,0.233,0.519,14,26.4,0.222,0.496,13.9,73.7,0.237
0,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184
1,0.505,13.7,20.2,0.199,0.513,12.4,71,0.192,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237
0,0.554,14.6,20.6,0.228,0.511,15.8,73,0.212,0.515,14.3,21,0.208,0.51,14,74.4,0.196
0,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183
0,0.505,13.7,20.2,0.199,0.513,12.4,71,0.192,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189
1,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,0.479,13,27.2,0.201,0.508,13,75.8,0.199
1,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218
1,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224
0,0.504,12.4,28,0.22,0.488,11,74.7,0.194,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193
1,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199
1,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236,0.505,12.5,25.1,0.189,0.514,14,74.3,0.245
0,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244,0.506,13.6,25.2,0.181,0.504,15,75.7,0.22
0,0.487,13.9,22.4,0.193,0.504,13,75.5,0.211,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236
0,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227,0.554,14.6,20.6,0.228,0.511,15.8,73,0.212
1,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249
0,0.504,12.4,28,0.22,0.488,11,74.7,0.194,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221
1,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227
0,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183
1,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189,0.479,13,27.2,0.201,0.508,13,75.8,0.199
0,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193
0,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225
1,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244,0.505,12.5,25.1,0.189,0.514,14,74.3,0.245
1,0.515,14.3,21,0.208,0.51,14,74.4,0.196,0.487,13.9,22.4,0.193,0.504,13,75.5,0.211
0,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197,0.519,14,26.4,0.222,0.496,13.9,73.7,0.237
1,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184
0,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237
1,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227,0.506,13.6,25.2,0.181,0.504,15,75.7,0.22
0,0.505,13.7,20.2,0.199,0.513,12.4,71,0.192,0.554,14.6,20.6,0.228,0.511,15.8,73,0.212
0,0.497,14,27.5,0.222,0.5,12.8,74.5,0.233,0.504,12.4,28,0.22,0.488,11,74.7,0.194
1,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184,0.515,14.3,21,0.208,0.51,14,74.4,0.196
1,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227
0,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236
1,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189
0,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225,0.479,13,27.2,0.201,0.508,13,75.8,0.199
1,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218
1,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224
1,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193
0,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183,0.505,12.5,25.1,0.189,0.514,14,74.3,0.245
0,0.505,13.7,20.2,0.199,0.513,12.4,71,0.192,0.487,13.9,22.4,0.193,0.504,13,75.5,0.211
1,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244
1,0.506,13.6,25.2,0.181,0.504,15,75.7,0.22,0.519,14,26.4,0.222,0.496,13.9,73.7,0.237
1,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234
1,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183
0,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197,0.497,14,27.5,0.222,0.5,12.8,74.5,0.233
0,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199
1,0.515,14.3,21,0.208,0.51,14,74.4,0.196,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225
1,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244
0,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177,0.504,12.4,28,0.22,0.488,11,74.7,0.194
1,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237
0,0.506,13.6,25.2,0.181,0.504,15,75.7,0.22,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227
1,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227
1,0.519,14,26.4,0.222,0.496,13.9,73.7,0.237,0.479,13,27.2,0.201,0.508,13,75.8,0.199
0,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229
0,0.504,12.4,28,0.22,0.488,11,74.7,0.194,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224
0,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184,0.554,14.6,20.6,0.228,0.511,15.8,73,0.212
0,0.487,13.9,22.4,0.193,0.504,13,75.5,0.211,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249
0,0.505,13.7,20.2,0.199,0.513,12.4,71,0.192,0.505,12.5,25.1,0.189,0.514,14,74.3,0.245
1,0.497,14,27.5,0.222,0.5,12.8,74.5,0.233,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234
1,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236
1,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189
1,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225
0,0.515,14.3,21,0.208,0.51,14,74.4,0.196,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221
1,0.519,14,26.4,0.222,0.496,13.9,73.7,0.237,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244
0,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227
1,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249,0.479,13,27.2,0.201,0.508,13,75.8,0.199
0,0.487,13.9,22.4,0.193,0.504,13,75.5,0.211,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218
1,0.506,13.6,25.2,0.181,0.504,15,75.7,0.22,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224
0,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193
1,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197,0.505,13.7,20.2,0.199,0.513,12.4,71,0.192
0,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227,0.505,12.5,25.1,0.189,0.514,14,74.3,0.245
1,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199,0.504,12.4,28,0.22,0.488,11,74.7,0.194
1,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227
1,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229
1,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183,0.497,14,27.5,0.222,0.5,12.8,74.5,0.233
0,0.506,13.6,25.2,0.181,0.504,15,75.7,0.22,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222
1,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221,0.554,14.6,20.6,0.228,0.511,15.8,73,0.212
1,0.519,14,26.4,0.222,0.496,13.9,73.7,0.237,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225
0,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177
1,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234
1,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184
0,0.487,13.9,22.4,0.193,0.504,13,75.5,0.211,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237
0,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224
1,0.519,14,26.4,0.222,0.496,13.9,73.7,0.237,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197
0,0.479,13,27.2,0.201,0.508,13,75.8,0.199,0.505,12.5,25.1,0.189,0.514,14,74.3,0.245
1,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236
0,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229
1,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,0.497,14,27.5,0.222,0.5,12.8,74.5,0.233
1,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183,0.505,13.7,20.2,0.199,0.513,12.4,71,0.192
1,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177
0,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225,0.487,13.9,22.4,0.193,0.504,13,75.5,0.211
1,0.515,14.3,21,0.208,0.51,14,74.4,0.196,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244
1,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227
0,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177,0.515,14.3,21,0.208,0.51,14,74.4,0.196
0,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218
0,0.479,13,27.2,0.201,0.508,13,75.8,0.199,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193
0,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197
0,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222
0,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199
0,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249
1,0.554,14.6,20.6,0.228,0.511,15.8,73,0.212,0.505,12.5,25.1,0.189,0.514,14,74.3,0.245
0,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183,0.519,14,26.4,0.222,0.496,13.9,73.7,0.237
0,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,0.504,12.4,28,0.22,0.488,11,74.7,0.194
0,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184
0,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221,0.506,13.6,25.2,0.181,0.504,15,75.7,0.22
0,0.487,13.9,22.4,0.193,0.504,13,75.5,0.211,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227
0,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236
0,0.479,13,27.2,0.201,0.508,13,75.8,0.199,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229
0,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222,0.497,14,27.5,0.222,0.5,12.8,74.5,0.233
0,0.487,13.9,22.4,0.193,0.504,13,75.5,0.211,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197
0,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218,0.554,14.6,20.6,0.228,0.511,15.8,73,0.212
0,0.505,12.5,25.1,0.189,0.514,14,74.3,0.245,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225
1,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249
0,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221
0,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234
1,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227
0,0.504,12.4,28,0.22,0.488,11,74.7,0.194,0.506,13.6,25.2,0.181,0.504,15,75.7,0.22
1,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197,0.515,14.3,21,0.208,0.51,14,74.4,0.196
1,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224
0,0.505,13.7,20.2,0.199,0.513,12.4,71,0.192,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177
1,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189,0.519,14,26.4,0.222,0.496,13.9,73.7,0.237
1,0.505,13.7,20.2,0.199,0.513,12.4,71,0.192,0.479,13,27.2,0.201,0.508,13,75.8,0.199
0,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225,0.497,14,27.5,0.222,0.5,12.8,74.5,0.233
0,0.519,14,26.4,0.222,0.496,13.9,73.7,0.237,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193
1,0.554,14.6,20.6,0.228,0.511,15.8,73,0.212,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222
1,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199
0,0.515,14.3,21,0.208,0.51,14,74.4,0.196,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249
1,0.504,12.4,28,0.22,0.488,11,74.7,0.194,0.505,12.5,25.1,0.189,0.514,14,74.3,0.245
0,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221
0,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218,0.487,13.9,22.4,0.193,0.504,13,75.5,0.211
1,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244
0,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234
1,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184,0.506,13.6,25.2,0.181,0.504,15,75.7,0.22
0,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236
0,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224
0,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227
0,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229
0,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218
0,0.504,12.4,28,0.22,0.488,11,74.7,0.194,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197
0,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222
0,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249
0,0.497,14,27.5,0.222,0.5,12.8,74.5,0.233,0.505,12.5,25.1,0.189,0.514,14,74.3,0.245
0,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221,0.487,13.9,22.4,0.193,0.504,13,75.5,0.211
1,0.505,13.7,20.2,0.199,0.513,12.4,71,0.192,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244
1,0.479,13,27.2,0.201,0.508,13,75.8,0.199,0.506,13.6,25.2,0.181,0.504,15,75.7,0.22
1,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199,0.515,14.3,21,0.208,0.51,14,74.4,0.196
1,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183
0,0.497,14,27.5,0.222,0.5,12.8,74.5,0.233,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218
1,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225
1,0.504,12.4,28,0.22,0.488,11,74.7,0.194,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177
0,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224,0.519,14,26.4,0.222,0.496,13.9,73.7,0.237
0,0.554,14.6,20.6,0.228,0.511,15.8,73,0.212,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227
1,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227
0,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236
0,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199,0.479,13,27.2,0.201,0.508,13,75.8,0.199
0,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222
1,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189,0.505,13.7,20.2,0.199,0.513,12.4,71,0.192
0,0.505,12.5,25.1,0.189,0.514,14,74.3,0.245,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221
0,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197,0.487,13.9,22.4,0.193,0.504,13,75.5,0.211
0,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,0.506,13.6,25.2,0.181,0.504,15,75.7,0.22
0,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218
0,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224
0,0.497,14,27.5,0.222,0.5,12.8,74.5,0.233,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197
1,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225
1,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177
0,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237
0,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183
0,0.515,14.3,21,0.208,0.51,14,74.4,0.196,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189
0,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,0.479,13,27.2,0.201,0.508,13,75.8,0.199
1,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227,0.505,13.7,20.2,0.199,0.513,12.4,71,0.192
0,0.506,13.6,25.2,0.181,0.504,15,75.7,0.22,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199
1,0.554,14.6,20.6,0.228,0.511,15.8,73,0.212,0.519,14,26.4,0.222,0.496,13.9,73.7,0.237
1,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221,0.504,12.4,28,0.22,0.488,11,74.7,0.194
1,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227
0,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236
1,0.479,13,27.2,0.201,0.508,13,75.8,0.199,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218
1,0.554,14.6,20.6,0.228,0.511,15.8,73,0.212,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224
0,0.506,13.6,25.2,0.181,0.504,15,75.7,0.22,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193
1,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197
